Dependents,tenure,InternetService,Contract,PaperlessBilling,MonthlyCharges,TotalCharges,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,DeviceProtection_No internet service,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingMovies_No internet service,Churn
8637-XJIVR,0,12,2,0,1,78.95,947.4000000000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9803-FTJCG,1,71,1,2,1,66.85,4746.349999999999,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0278-YXOOG,0,5,0,0,0,21.05,105.25,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1
3212-KXOCR,0,52,0,1,0,21.0,1092.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
4598-XLKNJ,0,25,2,0,1,98.5,2462.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6380-ARCEH,0,1,0,0,0,20.2,20.2,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
3679-XASPY,1,1,0,0,0,19.45,19.45,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
7123-WQUHX,0,38,2,2,0,95.0,3610.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
5386-THSLQ,0,66,1,2,0,45.55,3006.2999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3192-NQECA,0,68,2,1,1,110.0,7480.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
6180-YBIQI,0,5,1,0,0,24.3,121.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6728-DKUCO,1,72,2,2,1,104.15,7498.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9750-BOOHV,0,32,1,2,0,30.15,964.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8597-CWYHH,0,43,2,2,0,94.35,4057.0499999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2848-YXSMW,1,72,0,1,0,19.4,1396.8,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
0486-HECZI,0,55,2,0,1,96.75,5321.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4549-ZDQYY,0,52,1,2,0,57.95,3013.4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
5712-AHQNN,0,43,2,0,1,91.65,3940.9500000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4846-WHAFZ,0,37,2,0,1,76.5,2830.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5256-SKJGO,1,64,1,1,1,54.6,3494.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3071-VBYPO,1,3,2,0,0,89.85,269.54999999999995,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9560-BBZXK,0,36,1,1,0,31.05,1117.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5299-RULOA,1,10,2,0,1,100.25,1002.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8402-OOOHJ,0,41,0,1,0,20.65,846.65,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
9445-ZUEQE,1,27,2,0,1,85.2,2300.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
1091-SOZGA,1,56,2,2,1,99.8,5588.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2928-HLDBA,0,6,0,0,0,20.7,124.19999999999999,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
0404-SWRVG,0,3,2,0,1,74.4,223.20000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6497-TILVL,1,7,1,0,0,50.7,354.90000000000003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7219-TLZHO,1,4,0,0,0,20.85,83.4,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
4622-YNKIJ,0,33,2,1,1,88.95,2935.35,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
4412-YLTKF,0,27,2,0,1,78.05,2107.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6734-PSBAW,0,72,0,1,1,23.55,1695.6000000000001,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
3930-ZGWVE,0,1,0,0,0,19.75,19.75,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
2639-UGMAZ,0,71,1,2,1,56.45,4007.9500000000003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2876-GZYZC,0,13,2,0,1,85.95,1117.3500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6207-WIOLX,1,25,1,0,1,58.6,1465.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8587-XYZSF,0,67,1,1,0,50.55,3386.85,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3091-FYHKI,0,1,1,0,1,35.45,35.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2372-HWUHI,0,2,1,0,0,44.35,88.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
7799-LGRDP,0,43,0,1,1,25.7,1105.1,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
7850-VWJUU,0,23,2,0,1,75.0,1725.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3774-VBNXY,1,64,0,1,0,20.2,1292.8,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
6217-KDYWC,1,57,0,1,1,19.6,1117.2,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
0390-DCFDQ,0,1,2,0,1,70.45,70.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3146-MSEGF,1,72,1,1,1,88.05,6339.599999999999,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
4080-OGPJL,0,8,1,0,0,71.15,569.2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
1095-WGNGG,0,61,2,1,1,101.05,6164.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2636-SJDOU,0,64,2,2,1,84.3,5395.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1131-QQZEB,0,71,0,1,0,23.95,1700.45,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
5716-EZXZN,1,65,2,1,1,99.05,6438.25,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
6837-BJYDQ,0,3,0,2,0,19.6,58.800000000000004,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
2135-RXIHG,0,1,1,0,1,45.65,45.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6440-DKQGE,1,30,1,2,0,64.5,1935.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3466-BYAVD,1,15,1,0,1,69.5,1042.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3780-YVMFA,1,8,1,0,1,68.55,548.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3874-EQOEP,0,7,2,0,0,95.0,665.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1679-JRFBR,1,70,2,2,1,108.15,7570.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9073-ZZIAY,1,62,1,1,0,86.1,5338.2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3077-RSNTJ,1,6,0,0,0,19.7,118.19999999999999,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
6551-GNYDG,1,14,2,0,1,80.9,1132.6000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9167-APMXZ,0,22,2,0,1,84.15,1851.3000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2749-CTKAJ,1,22,0,2,0,20.15,443.29999999999995,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
6371-NZYEG,1,16,1,1,0,64.25,1028.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7554-NEWDD,0,10,0,1,0,25.7,257.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
8992-VONJD,1,13,1,0,1,56.0,728.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0867-MKZVY,0,20,2,0,0,82.4,1648.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4482-EWFMI,0,2,2,0,1,69.7,139.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4648-YPBTM,0,53,1,1,1,73.9,3916.7000000000003,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
2907-ILJBN,1,11,0,2,0,20.6,226.60000000000002,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
6345-FZOQH,0,69,0,1,0,19.9,1373.1,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
3376-BMGFE,0,4,2,0,1,70.9,283.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5997-OPVFA,0,72,1,1,1,89.05,6411.599999999999,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3445-HXXGF,0,58,1,0,1,45.3,2627.3999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1159-WFSGR,1,16,0,0,0,20.4,326.4,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
7654-YWJUF,0,43,2,2,1,84.25,3622.75,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
1875-QIVME,0,2,2,0,1,104.4,208.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
6727-IOTLZ,0,14,1,1,0,81.95,1147.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0691-JVSYA,0,53,2,2,1,94.85,5027.049999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5918-VUKWP,0,32,0,2,0,20.55,657.6,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
1744-JHKYS,0,34,0,0,0,24.7,839.8,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
2656-FMOKZ,0,15,2,0,1,74.45,1116.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2070-FNEXE,0,7,2,0,0,76.45,535.15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5947-SGKCL,1,15,2,0,1,105.35,1580.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3712-PKXZA,0,61,0,2,1,20.55,1253.55,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
6317-YPKDH,0,1,1,0,0,29.95,29.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6582-OIVSP,0,1,1,0,0,45.3,45.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9367-WXLCH,0,8,2,0,0,84.5,676.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5524-KHNJP,1,33,1,2,0,74.75,2466.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1918-ZBFQJ,0,13,2,0,1,79.25,1030.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1024-GUALD,0,1,1,0,1,24.8,24.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4827-USJHP,0,20,1,0,1,51.8,1036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8167-GJLRN,0,3,1,0,0,30.4,91.19999999999999,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0956-SYCWG,0,13,0,2,0,19.65,255.45,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
8017-UVSZU,0,40,1,0,0,56.6,2264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7100-FQPRV,1,43,1,2,1,71.9,3091.7000000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
2472-OVKUP,0,6,2,0,1,91.0,546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2984-RGEYA,1,69,0,1,0,19.75,1362.75,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
9680-NIAUV,1,72,2,1,0,109.7,7898.400000000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2146-EGVDT,1,59,0,1,0,19.3,1138.7,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
2604-IJPDU,0,20,2,0,1,96.55,1931.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
9178-JHUVJ,1,24,0,1,1,24.1,578.4000000000001,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
6168-YBYNP,0,59,2,0,1,111.35,6569.65,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
7255-SSFBC,1,72,2,1,1,112.25,8082.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3645-DEYGF,1,1,0,0,0,20.75,20.75,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
9323-HGFWY,0,27,2,2,1,101.9,2751.3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
8544-GOQSH,0,14,2,0,1,80.05,1120.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3363-DTIVD,1,71,2,1,0,105.55,7494.05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7018-WBJNK,1,13,2,0,1,78.3,1017.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9142-KZXOP,0,44,2,0,0,68.85,3029.3999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7674-YTAFD,0,33,2,2,1,79.95,2638.35,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
6348-SNFUS,1,72,1,1,1,55.45,3992.4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
1285-OKIPP,0,1,2,0,0,79.9,79.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
7825-ECJRF,0,19,2,0,1,106.6,2025.3999999999999,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
1347-KTTTA,0,64,2,2,1,102.45,6556.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
7841-TZDMQ,0,2,1,0,1,46.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4195-NZGTA,0,1,1,0,0,25.25,25.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7157-SMCFK,1,61,0,1,0,19.75,1204.75,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
4709-LKHYG,1,29,0,2,0,20.0,580.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
2504-DSHIH,0,23,2,0,0,86.8,1996.3999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0699-NDKJM,0,57,1,0,1,58.75,3348.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9286-BHDQG,1,72,1,1,0,45.25,3258.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0230-WEQUW,0,66,1,1,1,56.6,3735.6,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
