SeniorCitizen,Partner,Dependents,tenure,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes
8773-HHUOZ,0,0,1,17,1,0,1,0,64.7,1099.9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
3841-NFECX,1,1,0,71,2,1,1,3,96.35,6840.849999999999,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
4929-XIHVW,1,1,0,2,2,0,1,3,95.5,191.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
6827-IEAUQ,0,1,1,27,1,2,0,0,66.15,1786.0500000000002,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
7310-EGVHZ,0,0,0,1,0,0,0,2,20.2,20.2,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
3413-BMNZE,1,0,0,1,1,0,0,2,45.25,45.25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6234-RAAPL,0,1,1,72,2,1,0,2,99.9,7192.8,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
6047-YHPVI,0,0,0,5,2,0,1,1,69.7,348.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6572-ADKRS,0,0,0,46,2,0,1,3,74.8,3440.7999999999997,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5380-WJKOV,0,0,0,34,2,0,1,1,106.35,3615.8999999999996,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
8168-UQWWF,0,0,0,11,2,0,1,2,97.85,1076.35,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
8865-TNMNX,0,1,1,10,1,2,0,0,49.55,495.5,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9489-DEDVP,0,1,1,70,1,1,1,3,69.2,4844.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9867-JCZSP,0,1,1,17,0,2,0,0,20.75,352.75,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
4671-VJLCL,0,0,0,63,1,1,1,3,79.85,5030.549999999999,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
4080-IIARD,0,1,0,13,1,0,1,1,76.2,990.6,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
3714-NTNFO,0,0,0,49,2,0,1,1,84.5,4140.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5948-UJZLF,0,0,0,2,1,0,0,0,49.25,98.5,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7760-OYPDY,0,0,0,2,2,0,1,1,80.65,161.3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7639-LIAYI,0,0,0,52,1,1,1,3,79.75,4147.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
2954-PIBKO,0,1,1,69,1,1,1,3,64.15,4426.35,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
8012-SOUDQ,1,0,0,43,2,0,1,1,90.25,3880.75,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9420-LOJKX,0,0,0,15,2,0,1,3,99.1,1486.5,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
6575-SUVOI,1,1,0,25,1,0,1,3,69.5,1737.5,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
7495-OOKFY,1,1,0,8,2,0,1,3,80.65,645.2,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4667-QONEA,1,1,1,60,1,2,1,3,74.85,4491.0,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
1658-BYGOY,1,0,0,18,2,0,1,1,95.45,1718.1000000000001,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
8769-KKTPH,0,1,1,63,2,2,1,3,99.65,6277.950000000001,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
5067-XJQFU,1,1,1,66,2,2,1,1,108.45,7157.7,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
3957-SQXML,0,1,1,34,0,1,0,3,24.95,848.3,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
5954-BDFSG,0,0,0,72,2,1,1,3,107.5,7740.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
0434-CSFON,0,1,0,47,2,0,1,1,100.5,4723.5,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
1215-FIGMP,0,0,0,60,2,0,1,2,89.9,5394.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0526-SXDJP,0,1,0,72,1,1,0,2,42.1,3031.2000000000003,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0557-ASKVU,0,1,1,18,1,2,1,3,54.4,979.1999999999999,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
5698-BQJOH,0,0,0,9,2,0,0,1,94.4,849.6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
5122-CYFXA,0,0,0,3,1,0,1,1,75.3,225.89999999999998,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
8627-ZYGSZ,0,1,0,47,2,2,1,1,78.9,3708.3,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3410-YOQBQ,0,0,0,31,1,1,0,0,79.2,2455.2000000000003,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
3170-NMYVV,0,1,1,50,0,1,0,2,20.15,1007.4999999999999,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
7410-OIEDU,0,0,0,10,2,0,1,0,79.85,798.5,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2273-QCKXA,0,0,0,1,1,0,0,0,49.05,49.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0731-EBJQB,0,1,1,52,0,2,1,1,20.4,1060.8,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1891-QRQSA,1,1,1,64,2,1,1,2,111.6,7142.4,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
8028-PNXHQ,0,1,1,62,0,1,1,2,24.25,1503.5,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
5630-AHZIL,0,0,1,3,1,0,1,2,64.5,193.5,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2673-CXQEU,1,0,0,56,2,2,0,1,110.5,6188.0,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
6416-JNVRK,0,0,0,46,1,2,0,3,55.65,2559.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5590-ZSKRV,0,1,1,8,1,0,0,0,54.65,437.2,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0191-ZHSKZ,1,0,0,30,1,0,1,1,74.75,2242.5,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
3887-PBQAO,0,1,1,45,0,2,1,3,25.9,1165.5,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
5919-TMRGD,0,0,1,1,2,0,1,1,79.35,79.35,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8108-UXRQN,0,1,1,11,1,0,0,1,50.55,556.05,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
9191-MYQKX,0,1,0,7,2,0,1,2,75.15,526.0500000000001,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9919-YLNNG,0,0,0,42,2,0,1,2,103.8,4359.599999999999,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
0318-ZOPWS,0,1,0,49,0,1,1,2,20.15,987.3499999999999,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
4445-ZJNMU,0,0,0,9,2,0,1,3,99.3,893.6999999999999,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
4808-YNLEU,0,1,0,35,1,2,1,2,62.15,2175.25,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1862-QRWPE,0,1,1,48,0,1,0,2,20.65,991.1999999999999,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2796-NNUFI,0,1,1,46,0,1,1,0,19.95,917.6999999999999,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
3016-KSVCP,0,1,0,29,1,0,0,0,33.75,978.75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4767-HZZHQ,0,1,1,30,2,0,0,2,82.05,2461.5,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2424-WVHPL,1,0,0,1,2,0,0,1,74.7,74.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7233-PAHHL,0,1,1,66,1,1,1,0,84.0,5544.0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
6067-NGCEU,0,0,0,65,2,0,1,3,111.05,7218.25,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
9848-JQJTX,0,0,0,72,2,1,1,2,100.9,7264.8,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
8637-XJIVR,0,0,0,12,2,0,1,1,78.95,947.4000000000001,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9803-FTJCG,0,1,1,71,1,2,1,3,66.85,4746.349999999999,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0278-YXOOG,0,0,0,5,0,0,0,0,21.05,105.25,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
3212-KXOCR,0,0,0,52,0,1,0,2,21.0,1092.0,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
4598-XLKNJ,1,1,0,25,2,0,1,1,98.5,2462.5,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
6380-ARCEH,0,0,0,1,0,0,0,0,20.2,20.2,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
3679-XASPY,0,1,1,1,0,0,0,1,19.45,19.45,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
7123-WQUHX,0,0,0,38,2,2,0,2,95.0,3610.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
5386-THSLQ,1,1,0,66,1,2,0,2,45.55,3006.2999999999997,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
3192-NQECA,0,1,0,68,2,1,1,2,110.0,7480.0,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
6180-YBIQI,0,0,0,5,1,0,0,0,24.3,121.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6728-DKUCO,0,1,1,72,2,2,1,1,104.15,7498.8,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
9750-BOOHV,0,0,0,32,1,2,0,0,30.15,964.8,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8597-CWYHH,0,0,0,43,2,2,0,0,94.35,4057.0499999999997,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2848-YXSMW,0,1,1,72,0,1,0,3,19.4,1396.8,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0486-HECZI,0,1,0,55,2,0,1,1,96.75,5321.25,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4549-ZDQYY,0,0,0,52,1,2,0,3,57.95,3013.4,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
5712-AHQNN,0,0,0,43,2,0,1,1,91.65,3940.9500000000003,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
4846-WHAFZ,1,1,0,37,2,0,1,1,76.5,2830.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5256-SKJGO,0,1,1,64,1,1,1,1,54.6,3494.4,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
3071-VBYPO,0,1,1,3,2,0,0,1,89.85,269.54999999999995,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9560-BBZXK,0,0,0,36,1,1,0,2,31.05,1117.8,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5299-RULOA,0,1,1,10,2,0,1,1,100.25,1002.5,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
8402-OOOHJ,0,0,0,41,0,1,0,0,20.65,846.65,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
9445-ZUEQE,0,1,1,27,2,0,1,3,85.2,2300.4,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1091-SOZGA,0,1,1,56,2,2,1,3,99.8,5588.8,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
2928-HLDBA,0,0,0,6,0,0,0,0,20.7,124.19999999999999,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0404-SWRVG,0,0,0,3,2,0,1,1,74.4,223.20000000000002,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6497-TILVL,0,1,1,7,1,0,0,0,50.7,354.90000000000003,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7219-TLZHO,0,1,1,4,0,0,0,0,20.85,83.4,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
4622-YNKIJ,0,0,0,33,2,1,1,1,88.95,2935.35,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
4412-YLTKF,1,0,0,27,2,0,1,1,78.05,2107.35,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6734-PSBAW,0,1,0,72,0,1,1,2,23.55,1695.6000000000001,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
3930-ZGWVE,0,0,0,1,0,0,0,0,19.75,19.75,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2639-UGMAZ,1,0,0,71,1,2,1,1,56.45,4007.9500000000003,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2876-GZYZC,0,0,0,13,2,0,1,1,85.95,1117.3500000000001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6207-WIOLX,0,1,1,25,1,0,1,3,58.6,1465.0,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
8587-XYZSF,0,0,0,67,1,1,0,2,50.55,3386.85,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3091-FYHKI,0,0,0,1,1,0,1,1,35.45,35.45,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2372-HWUHI,0,0,0,2,1,0,0,1,44.35,88.7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7799-LGRDP,0,0,0,43,0,1,1,3,25.7,1105.1,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
7850-VWJUU,0,0,0,23,2,0,1,2,75.0,1725.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3774-VBNXY,0,1,1,64,0,1,0,0,20.2,1292.8,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6217-KDYWC,0,0,1,57,0,1,1,0,19.6,1117.2,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0390-DCFDQ,1,1,0,1,2,0,1,0,70.45,70.45,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3146-MSEGF,1,1,1,72,1,1,1,3,88.05,6339.599999999999,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
4080-OGPJL,0,0,0,8,1,0,0,1,71.15,569.2,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1095-WGNGG,0,1,0,61,2,1,1,2,101.05,6164.05,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2636-SJDOU,0,0,0,64,2,2,1,3,84.3,5395.2,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1131-QQZEB,1,1,0,71,0,1,0,2,23.95,1700.45,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
5716-EZXZN,0,1,1,65,2,1,1,3,99.05,6438.25,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
6837-BJYDQ,0,0,0,3,0,2,0,0,19.6,58.800000000000004,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2135-RXIHG,0,0,0,1,1,0,1,1,45.65,45.65,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6440-DKQGE,0,0,1,30,1,2,0,3,64.5,1935.0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
3466-BYAVD,0,1,1,15,1,0,1,0,69.5,1042.5,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
3780-YVMFA,0,1,1,8,1,0,1,1,68.55,548.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
3874-EQOEP,0,0,0,7,2,0,0,0,95.0,665.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1679-JRFBR,0,1,1,70,2,2,1,3,108.15,7570.5,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
9073-ZZIAY,0,1,1,62,1,1,0,1,86.1,5338.2,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
3077-RSNTJ,0,1,1,6,0,0,0,0,19.7,118.19999999999999,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6551-GNYDG,0,1,1,14,2,0,1,2,80.9,1132.6000000000001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9167-APMXZ,0,0,0,22,2,0,1,2,84.15,1851.3000000000002,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2749-CTKAJ,0,1,1,22,0,2,0,0,20.15,443.29999999999995,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6371-NZYEG,0,1,1,16,1,1,0,0,64.25,1028.0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
7554-NEWDD,0,0,0,10,0,1,0,2,25.7,257.0,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
