SeniorCitizen,Partner,Dependents,tenure,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes
0743-HNPFG,0,1,1,51,1,2,1,3,69.75,3557.25,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
5334-JLAXU,0,1,0,60,2,0,1,3,94.1,5646.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5696-EXCYS,0,0,0,17,0,1,0,3,19.45,330.65,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2569-WGERO,0,0,0,72,0,1,1,2,21.15,1522.8,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
5219-YIPTK,0,1,0,33,2,0,1,1,104.4,3445.2000000000003,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
5553-AOINX,1,1,1,66,2,2,1,1,104.9,6923.400000000001,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
5502-RLUYV,0,1,1,69,2,0,1,1,103.95,7172.55,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
2058-DCJBE,0,0,0,5,2,0,1,1,69.75,348.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2293-IJWPS,0,1,0,57,2,2,1,3,100.75,5742.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
7130-VTEWQ,1,0,0,8,2,0,1,1,75.75,606.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0080-EMYVY,0,0,0,14,1,2,0,3,51.45,720.3000000000001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0148-DCDOS,0,0,0,25,2,0,1,2,94.7,2367.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
9170-ARBTB,0,1,1,52,0,2,0,3,19.6,1019.2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2070-FNEXE,1,0,0,7,2,0,0,2,76.45,535.15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5364-EVNIB,0,0,0,13,2,0,1,1,79.8,1037.4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1112-CUNAO,1,0,0,15,2,0,0,1,89.85,1347.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4576-CSAJH,0,0,0,22,1,2,1,3,55.15,1213.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9967-ATRFS,0,0,0,19,0,0,0,0,19.9,378.1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1360-RCYRT,0,1,1,23,1,0,1,2,30.35,698.0500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5038-ETMLM,0,1,0,72,2,1,1,2,113.65,8182.8,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
5663-QBGIS,1,1,0,72,2,1,0,2,98.35,7081.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
4194-WHFCB,0,1,1,59,2,0,1,2,96.65,5702.35,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
9481-WHGWY,0,1,1,70,1,1,0,3,75.35,5274.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
5453-YBTWV,0,1,1,70,2,1,1,3,101.1,7077.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
2018-PZKMU,0,1,1,9,2,0,0,1,103.1,927.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
9277-JOOMO,0,0,0,3,0,0,0,0,24.6,73.80000000000001,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
3629-ZNKXA,1,0,0,17,2,0,1,1,101.8,1730.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
0369-ZGOVK,0,1,1,28,2,2,1,2,70.4,1971.2000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3604-WLABM,0,0,0,10,1,0,0,1,54.25,542.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
4063-EIKNQ,0,1,1,11,0,0,0,2,20.95,230.45,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2878-RMWXY,1,1,0,72,2,1,1,3,102.65,7390.8,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
9540-JYROE,0,0,0,8,2,0,1,0,70.1,560.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7515-LODFU,1,0,0,69,0,1,0,3,20.3,1400.7,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1839-FBNFR,0,1,1,39,0,1,1,2,19.85,774.1500000000001,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
5397-NSKQG,0,1,1,67,1,1,0,3,50.9,3410.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1755-FZQEC,0,0,0,39,0,2,0,0,19.9,776.0999999999999,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2160-GPFXD,0,1,1,54,1,1,1,3,65.65,3545.1000000000004,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4415-IJZTP,0,0,0,1,2,0,1,1,74.5,74.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9880-TDQAC,0,1,1,72,1,1,1,1,60.0,4320.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
5138-WVKYJ,0,0,0,10,2,0,0,1,98.55,985.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
8844-TONUD,0,1,1,13,2,0,1,0,96.65,1256.45,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
0080-OROZO,0,0,0,35,2,2,1,1,99.25,3473.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
0953-LGOVU,0,1,1,12,1,0,0,0,35.5,426.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5325-UWTWJ,0,1,0,31,2,0,1,3,90.55,2807.05,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1074-AMIOH,0,1,1,53,2,0,1,2,108.25,5737.25,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
5906-BFOZT,0,0,0,1,0,0,1,0,19.5,19.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
7026-YMSBE,0,0,0,30,0,2,0,0,19.7,591.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6572-ADKRS,0,0,0,46,2,0,1,3,74.8,3440.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5922-ABDVO,0,1,0,19,2,0,0,0,89.65,1703.35,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
6475-VHUIZ,0,1,0,23,1,0,0,1,54.25,1247.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1324-NLTJE,1,0,0,15,1,0,0,3,55.0,825.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4361-FEBGN,0,0,0,48,0,1,0,3,20.15,967.2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
8393-DLHGA,0,0,1,25,2,0,1,1,95.9,2397.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
6769-DCQLI,0,0,0,52,2,2,1,2,105.0,5460.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
3018-TFTSU,0,0,0,12,2,0,0,2,81.7,980.4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2324-AALNO,0,0,0,48,0,2,0,2,24.55,1178.4,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2300-RQGOI,0,0,0,38,0,1,0,0,20.05,761.9,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6133-OZILE,0,0,0,18,1,0,1,1,35.2,633.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
7605-SNLQG,0,1,0,45,1,0,1,3,50.25,2261.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5348-CAGXB,0,0,0,12,2,0,1,1,89.55,1074.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0201-MIBOL,1,0,0,66,2,1,1,2,102.4,6758.400000000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
7083-MIOPC,0,0,0,72,0,1,0,3,20.25,1458.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0562-KBDVM,0,0,0,70,1,1,1,2,44.6,3122.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1173-NOEYG,0,1,0,27,2,0,0,2,90.15,2434.05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
7698-YFGEZ,0,0,0,1,0,0,0,0,20.0,20.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
9061-TIHDA,1,1,0,13,2,0,1,1,95.25,1238.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0016-QLJIS,0,1,1,65,1,1,1,0,90.45,5879.25,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
7296-PIXQY,0,1,1,14,2,0,0,1,70.2,982.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9102-IAYHT,0,1,1,17,2,0,1,1,85.45,1452.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6447-EGDIV,0,0,0,31,0,2,0,0,20.95,649.4499999999999,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
3460-TJBWI,0,1,1,24,0,1,0,0,24.2,580.8,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
3744-ZBHON,0,0,0,3,0,0,0,1,20.2,60.6,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1092-GANHU,0,0,0,17,2,0,1,1,76.65,1303.0500000000002,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3948-KXDUF,0,0,0,66,1,1,0,2,68.75,4537.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
7284-ZZLOH,0,1,0,45,1,1,0,3,53.3,2398.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6745-JEFZB,0,1,0,35,2,0,1,3,91.5,3202.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2606-PKWJB,0,0,1,40,1,2,0,0,40.25,1610.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1624-WOIWJ,0,0,0,10,2,0,1,0,84.7,847.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8777-PVYGU,0,1,0,52,1,2,1,0,64.3,3343.6,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
4770-QAZXN,0,0,0,13,0,0,0,3,19.45,252.85,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
8012-SOUDQ,1,0,0,43,2,0,1,1,90.25,3880.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5546-BYZSM,0,0,0,41,0,0,0,1,20.45,838.4499999999999,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0523-VNGTF,1,0,0,52,1,0,1,1,50.5,2626.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
3779-OSWCF,0,1,0,71,1,1,0,3,93.2,6617.2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
8535-SFUTN,0,0,0,61,2,0,1,1,106.45,6493.45,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
2320-SLKMB,0,0,0,26,1,0,1,3,44.45,1155.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
7169-YWAMK,0,1,1,72,1,1,0,2,68.4,4924.8,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
8434-PNQZX,0,0,0,42,1,1,1,3,78.45,3294.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
4981-FLTMF,0,1,1,57,1,0,0,2,65.2,3716.4,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9424-CMPOG,0,1,1,9,0,1,0,0,19.6,176.4,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
3627-FCRDW,0,0,0,9,2,0,0,1,71.0,639.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1518-OMDIK,0,1,0,33,1,0,1,3,44.55,1470.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8393-JMVMB,0,0,0,1,0,0,0,0,19.45,19.45,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
7638-QVMVY,0,0,0,7,2,0,1,1,79.0,553.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6140-QNRQQ,0,0,0,1,2,0,1,0,71.55,71.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7969-FFOWG,0,1,1,65,0,1,0,0,19.9,1293.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1342-JPNKI,0,0,0,10,2,0,1,2,86.05,860.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7080-TNUWP,0,1,0,70,2,2,1,2,95.0,6650.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
8949-JTMAY,0,0,0,29,2,0,1,3,98.6,2859.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
0654-HMSHN,0,1,1,21,2,0,0,1,104.4,2192.4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
2725-KXXWT,0,1,0,1,2,0,1,1,90.75,90.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2439-QKJUL,0,0,0,5,0,0,0,0,20.25,101.25,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1935-IMVBB,0,1,0,56,2,0,0,0,89.7,5023.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
4628-WQCQQ,0,0,1,35,2,2,1,1,85.15,2980.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
3724-BSCVH,0,1,1,10,0,2,0,0,20.45,204.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
7605-BDWDC,0,0,0,31,1,1,1,2,49.85,1545.35,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
7137-RYLPP,1,1,0,37,2,0,1,1,85.7,3170.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3207-OYBWH,1,1,0,57,2,0,1,2,95.25,5429.25,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
4707-YNOQA,0,1,1,34,0,2,1,3,25.6,870.4000000000001,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6956-SMUCM,0,0,0,3,2,0,1,3,99.0,297.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
8714-CTZJW,0,0,0,4,2,0,1,3,82.85,331.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
3662-FXJFO,0,0,0,54,0,1,1,0,20.5,1107.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
7623-HKYRK,0,0,1,6,0,0,0,0,19.7,118.2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1353-GHZOS,0,1,0,22,1,2,1,2,59.75,1314.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3323-CPBWR,0,0,0,23,2,0,1,3,96.9,2228.7000000000003,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
6152-ONASV,0,1,0,68,1,2,0,2,58.25,3961.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9251-AWQGT,0,1,1,48,0,1,0,0,20.0,960.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
4803-LBYPN,0,1,1,34,0,0,0,0,20.8,707.2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
8879-ZKJOF,0,0,0,41,1,2,1,2,79.85,3273.85,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
7354-OIJLX,0,0,0,9,2,0,1,1,75.85,682.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9129-UXERG,1,0,0,18,2,0,1,3,103.6,1864.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
5302-BDJNT,0,0,0,35,2,0,0,1,95.5,3342.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
7148-XZPHA,0,1,1,55,2,0,0,1,79.4,4367.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2651-ZCBXV,0,0,0,54,2,1,1,3,108.0,5832.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
1304-NECVQ,1,0,0,2,2,0,1,1,78.55,157.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3374-TTZTK,0,1,0,52,2,1,1,1,106.3,5527.599999999999,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
0229-LFJAF,0,0,0,72,1,1,0,2,69.65,5014.8,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1304-BCCFO,0,1,0,9,1,0,1,0,70.05,630.4499999999999,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
0455-XFASS,0,1,1,3,2,0,1,1,69.55,208.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0221-WMXNQ,1,0,0,4,2,0,0,1,75.35,301.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2882-WDTBA,0,1,1,69,1,1,1,2,75.75,5226.75,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
8069-RHUXK,0,1,1,67,1,1,0,3,35.7,2391.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
