tenure,InternetService,Contract,TotalCharges,OnlineSecurity_No internet service,OnlineBackup_No internet service,DeviceProtection_No internet service,TechSupport_No internet service,StreamingTV_No internet service,StreamingMovies_No internet service,Churn
3413-BMNZE,1,1,0,45.25,0.0,0.0,0.0,0.0,0.0,0.0,0
6234-RAAPL,72,2,1,7192.8,0.0,0.0,0.0,0.0,0.0,0.0,0
6047-YHPVI,5,2,0,348.5,0.0,0.0,0.0,0.0,0.0,0.0,1
6572-ADKRS,46,2,0,3440.7999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0
5380-WJKOV,34,2,0,3615.8999999999996,0.0,0.0,0.0,0.0,0.0,0.0,1
8168-UQWWF,11,2,0,1076.35,0.0,0.0,0.0,0.0,0.0,0.0,1
8865-TNMNX,10,1,2,495.5,0.0,0.0,0.0,0.0,0.0,0.0,0
9489-DEDVP,70,1,1,4844.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9867-JCZSP,17,0,2,352.75,1.0,1.0,1.0,1.0,1.0,1.0,0
4671-VJLCL,63,1,1,5030.549999999999,0.0,0.0,0.0,0.0,0.0,0.0,0
4080-IIARD,13,1,0,990.6,0.0,0.0,0.0,0.0,0.0,0.0,0
3714-NTNFO,49,2,0,4140.5,0.0,0.0,0.0,0.0,0.0,0.0,0
5948-UJZLF,2,1,0,98.5,0.0,0.0,0.0,0.0,0.0,0.0,0
7760-OYPDY,2,2,0,161.3,0.0,0.0,0.0,0.0,0.0,0.0,1
7639-LIAYI,52,1,1,4147.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2954-PIBKO,69,1,1,4426.35,0.0,0.0,0.0,0.0,0.0,0.0,0
8012-SOUDQ,43,2,0,3880.75,0.0,0.0,0.0,0.0,0.0,0.0,0
9420-LOJKX,15,2,0,1486.5,0.0,0.0,0.0,0.0,0.0,0.0,1
6575-SUVOI,25,1,0,1737.5,0.0,0.0,0.0,0.0,0.0,0.0,0
7495-OOKFY,8,2,0,645.2,0.0,0.0,0.0,0.0,0.0,0.0,1
4667-QONEA,60,1,2,4491.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1658-BYGOY,18,2,0,1718.1000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1
8769-KKTPH,63,2,2,6277.950000000001,0.0,0.0,0.0,0.0,0.0,0.0,0
5067-XJQFU,66,2,2,7157.7,0.0,0.0,0.0,0.0,0.0,0.0,0
3957-SQXML,34,0,1,848.3,1.0,1.0,1.0,1.0,1.0,1.0,0
5954-BDFSG,72,2,1,7740.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0434-CSFON,47,2,0,4723.5,0.0,0.0,0.0,0.0,0.0,0.0,0
1215-FIGMP,60,2,0,5394.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0526-SXDJP,72,1,1,3031.2000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0
0557-ASKVU,18,1,2,979.1999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0
5698-BQJOH,9,2,0,849.6,0.0,0.0,0.0,0.0,0.0,0.0,1
5122-CYFXA,3,1,0,225.89999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0
8627-ZYGSZ,47,2,2,3708.3,0.0,0.0,0.0,0.0,0.0,0.0,0
3410-YOQBQ,31,1,1,2455.2000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0
3170-NMYVV,50,0,1,1007.4999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0
7410-OIEDU,10,2,0,798.5,0.0,0.0,0.0,0.0,0.0,0.0,0
2273-QCKXA,1,1,0,49.05,0.0,0.0,0.0,0.0,0.0,0.0,0
0731-EBJQB,52,0,2,1060.8,1.0,1.0,1.0,1.0,1.0,1.0,0
1891-QRQSA,64,2,1,7142.4,0.0,0.0,0.0,0.0,0.0,0.0,0
8028-PNXHQ,62,0,1,1503.5,1.0,1.0,1.0,1.0,1.0,1.0,0
5630-AHZIL,3,1,0,193.5,0.0,0.0,0.0,0.0,0.0,0.0,0
2673-CXQEU,56,2,2,6188.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6416-JNVRK,46,1,2,2559.9,0.0,0.0,0.0,0.0,0.0,0.0,0
5590-ZSKRV,8,1,0,437.2,0.0,0.0,0.0,0.0,0.0,0.0,0
0191-ZHSKZ,30,1,0,2242.5,0.0,0.0,0.0,0.0,0.0,0.0,0
3887-PBQAO,45,0,2,1165.5,1.0,1.0,1.0,1.0,1.0,1.0,0
5919-TMRGD,1,2,0,79.35,0.0,0.0,0.0,0.0,0.0,0.0,1
8108-UXRQN,11,1,0,556.05,0.0,0.0,0.0,0.0,0.0,0.0,0
9191-MYQKX,7,2,0,526.0500000000001,0.0,0.0,0.0,0.0,0.0,0.0,1
9919-YLNNG,42,2,0,4359.599999999999,0.0,0.0,0.0,0.0,0.0,0.0,0
0318-ZOPWS,49,0,1,987.3499999999999,1.0,1.0,1.0,1.0,1.0,1.0,0
4445-ZJNMU,9,2,0,893.6999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0
4808-YNLEU,35,1,2,2175.25,0.0,0.0,0.0,0.0,0.0,0.0,0
1862-QRWPE,48,0,1,991.1999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0
2796-NNUFI,46,0,1,917.6999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0
3016-KSVCP,29,1,0,978.75,0.0,0.0,0.0,0.0,0.0,0.0,0
4767-HZZHQ,30,2,0,2461.5,0.0,0.0,0.0,0.0,0.0,0.0,0
2424-WVHPL,1,2,0,74.7,0.0,0.0,0.0,0.0,0.0,0.0,0
7233-PAHHL,66,1,1,5544.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6067-NGCEU,65,2,0,7218.25,0.0,0.0,0.0,0.0,0.0,0.0,0
9848-JQJTX,72,2,1,7264.8,0.0,0.0,0.0,0.0,0.0,0.0,0
8637-XJIVR,12,2,0,947.4000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1
9803-FTJCG,71,1,2,4746.349999999999,0.0,0.0,0.0,0.0,0.0,0.0,0
0278-YXOOG,5,0,0,105.25,1.0,1.0,1.0,1.0,1.0,1.0,1
3212-KXOCR,52,0,1,1092.0,1.0,1.0,1.0,1.0,1.0,1.0,0
4598-XLKNJ,25,2,0,2462.5,0.0,0.0,0.0,0.0,0.0,0.0,1
6380-ARCEH,1,0,0,20.2,1.0,1.0,1.0,1.0,1.0,1.0,0
3679-XASPY,1,0,0,19.45,1.0,1.0,1.0,1.0,1.0,1.0,0
7123-WQUHX,38,2,2,3610.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5386-THSLQ,66,1,2,3006.2999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0
3192-NQECA,68,2,1,7480.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6180-YBIQI,5,1,0,121.5,0.0,0.0,0.0,0.0,0.0,0.0,0
6728-DKUCO,72,2,2,7498.8,0.0,0.0,0.0,0.0,0.0,0.0,0
9750-BOOHV,32,1,2,964.8,0.0,0.0,0.0,0.0,0.0,0.0,0
8597-CWYHH,43,2,2,4057.0499999999997,0.0,0.0,0.0,0.0,0.0,0.0,0
2848-YXSMW,72,0,1,1396.8,1.0,1.0,1.0,1.0,1.0,1.0,0
0486-HECZI,55,2,0,5321.25,0.0,0.0,0.0,0.0,0.0,0.0,1
4549-ZDQYY,52,1,2,3013.4,0.0,0.0,0.0,0.0,0.0,0.0,0
5712-AHQNN,43,2,0,3940.9500000000003,0.0,0.0,0.0,0.0,0.0,0.0,0
4846-WHAFZ,37,2,0,2830.5,0.0,0.0,0.0,0.0,0.0,0.0,1
5256-SKJGO,64,1,1,3494.4,0.0,0.0,0.0,0.0,0.0,0.0,0
3071-VBYPO,3,2,0,269.54999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0
9560-BBZXK,36,1,1,1117.8,0.0,0.0,0.0,0.0,0.0,0.0,0
5299-RULOA,10,2,0,1002.5,0.0,0.0,0.0,0.0,0.0,0.0,1
8402-OOOHJ,41,0,1,846.65,1.0,1.0,1.0,1.0,1.0,1.0,0
9445-ZUEQE,27,2,0,2300.4,0.0,0.0,0.0,0.0,0.0,0.0,0
1091-SOZGA,56,2,2,5588.8,0.0,0.0,0.0,0.0,0.0,0.0,0
2928-HLDBA,6,0,0,124.19999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0
0404-SWRVG,3,2,0,223.20000000000002,0.0,0.0,0.0,0.0,0.0,0.0,1
6497-TILVL,7,1,0,354.90000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0
7219-TLZHO,4,0,0,83.4,1.0,1.0,1.0,1.0,1.0,1.0,0
4622-YNKIJ,33,2,1,2935.35,0.0,0.0,0.0,0.0,0.0,0.0,0
4412-YLTKF,27,2,0,2107.35,0.0,0.0,0.0,0.0,0.0,0.0,1
6734-PSBAW,72,0,1,1695.6000000000001,1.0,1.0,1.0,1.0,1.0,1.0,0
3930-ZGWVE,1,0,0,19.75,1.0,1.0,1.0,1.0,1.0,1.0,0
2639-UGMAZ,71,1,2,4007.9500000000003,0.0,0.0,0.0,0.0,0.0,0.0,0
2876-GZYZC,13,2,0,1117.3500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0
6207-WIOLX,25,1,0,1465.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8587-XYZSF,67,1,1,3386.85,0.0,0.0,0.0,0.0,0.0,0.0,0
3091-FYHKI,1,1,0,35.45,0.0,0.0,0.0,0.0,0.0,0.0,1
2372-HWUHI,2,1,0,88.7,0.0,0.0,0.0,0.0,0.0,0.0,1
7799-LGRDP,43,0,1,1105.1,1.0,1.0,1.0,1.0,1.0,1.0,0
7850-VWJUU,23,2,0,1725.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3774-VBNXY,64,0,1,1292.8,1.0,1.0,1.0,1.0,1.0,1.0,0
6217-KDYWC,57,0,1,1117.2,1.0,1.0,1.0,1.0,1.0,1.0,0
0390-DCFDQ,1,2,0,70.45,0.0,0.0,0.0,0.0,0.0,0.0,1
3146-MSEGF,72,1,1,6339.599999999999,0.0,0.0,0.0,0.0,0.0,0.0,0
4080-OGPJL,8,1,0,569.2,0.0,0.0,0.0,0.0,0.0,0.0,1
1095-WGNGG,61,2,1,6164.05,0.0,0.0,0.0,0.0,0.0,0.0,0
2636-SJDOU,64,2,2,5395.2,0.0,0.0,0.0,0.0,0.0,0.0,0
1131-QQZEB,71,0,1,1700.45,1.0,1.0,1.0,1.0,1.0,1.0,0
5716-EZXZN,65,2,1,6438.25,0.0,0.0,0.0,0.0,0.0,0.0,0
6837-BJYDQ,3,0,2,58.800000000000004,1.0,1.0,1.0,1.0,1.0,1.0,0
2135-RXIHG,1,1,0,45.65,0.0,0.0,0.0,0.0,0.0,0.0,1
6440-DKQGE,30,1,2,1935.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3466-BYAVD,15,1,0,1042.5,0.0,0.0,0.0,0.0,0.0,0.0,0
3780-YVMFA,8,1,0,548.4,0.0,0.0,0.0,0.0,0.0,0.0,0
3874-EQOEP,7,2,0,665.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1679-JRFBR,70,2,2,7570.5,0.0,0.0,0.0,0.0,0.0,0.0,0
9073-ZZIAY,62,1,1,5338.2,0.0,0.0,0.0,0.0,0.0,0.0,0
3077-RSNTJ,6,0,0,118.19999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0
6551-GNYDG,14,2,0,1132.6000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0
9167-APMXZ,22,2,0,1851.3000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0
2749-CTKAJ,22,0,2,443.29999999999995,1.0,1.0,1.0,1.0,1.0,1.0,0
6371-NZYEG,16,1,1,1028.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7554-NEWDD,10,0,1,257.0,1.0,1.0,1.0,1.0,1.0,1.0,0
8992-VONJD,13,1,0,728.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0867-MKZVY,20,2,0,1648.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4482-EWFMI,2,2,0,139.4,0.0,0.0,0.0,0.0,0.0,0.0,0
4648-YPBTM,53,1,1,3916.7000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0
2907-ILJBN,11,0,2,226.60000000000002,1.0,1.0,1.0,1.0,1.0,1.0,0
6345-FZOQH,69,0,1,1373.1,1.0,1.0,1.0,1.0,1.0,1.0,0
3376-BMGFE,4,2,0,283.6,0.0,0.0,0.0,0.0,0.0,0.0,1
5997-OPVFA,72,1,1,6411.599999999999,0.0,0.0,0.0,0.0,0.0,0.0,0
3445-HXXGF,58,1,0,2627.3999999999996,0.0,0.0,0.0,0.0,0.0,0.0,1
1159-WFSGR,16,0,0,326.4,1.0,1.0,1.0,1.0,1.0,1.0,0
7654-YWJUF,43,2,2,3622.75,0.0,0.0,0.0,0.0,0.0,0.0,0
1875-QIVME,2,2,0,208.8,0.0,0.0,0.0,0.0,0.0,0.0,1
6727-IOTLZ,14,1,1,1147.3,0.0,0.0,0.0,0.0,0.0,0.0,0
0691-JVSYA,53,2,2,5027.049999999999,0.0,0.0,0.0,0.0,0.0,0.0,1
5918-VUKWP,32,0,2,657.6,1.0,1.0,1.0,1.0,1.0,1.0,0
1744-JHKYS,34,0,0,839.8,1.0,1.0,1.0,1.0,1.0,1.0,0
2656-FMOKZ,15,2,0,1116.75,0.0,0.0,0.0,0.0,0.0,0.0,1
2070-FNEXE,7,2,0,535.15,0.0,0.0,0.0,0.0,0.0,0.0,1
5947-SGKCL,15,2,0,1580.25,0.0,0.0,0.0,0.0,0.0,0.0,0
3712-PKXZA,61,0,2,1253.55,1.0,1.0,1.0,1.0,1.0,1.0,0
6317-YPKDH,1,1,0,29.95,0.0,0.0,0.0,0.0,0.0,0.0,1
6582-OIVSP,1,1,0,45.3,0.0,0.0,0.0,0.0,0.0,0.0,0
9367-WXLCH,8,2,0,676.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5524-KHNJP,33,1,2,2466.75,0.0,0.0,0.0,0.0,0.0,0.0,0
1918-ZBFQJ,13,2,0,1030.25,0.0,0.0,0.0,0.0,0.0,0.0,1
1024-GUALD,1,1,0,24.8,0.0,0.0,0.0,0.0,0.0,0.0,1
4827-USJHP,20,1,0,1036.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8167-GJLRN,3,1,0,91.19999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0
0956-SYCWG,13,0,2,255.45,1.0,1.0,1.0,1.0,1.0,1.0,0
8017-UVSZU,40,1,0,2264.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7100-FQPRV,43,1,2,3091.7000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0
2472-OVKUP,6,2,0,546.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2984-RGEYA,69,0,1,1362.75,1.0,1.0,1.0,1.0,1.0,1.0,0
9680-NIAUV,72,2,1,7898.400000000001,0.0,0.0,0.0,0.0,0.0,0.0,0
2146-EGVDT,59,0,1,1138.7,1.0,1.0,1.0,1.0,1.0,1.0,0
2604-IJPDU,20,2,0,1931.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9178-JHUVJ,24,0,1,578.4000000000001,1.0,1.0,1.0,1.0,1.0,1.0,0
6168-YBYNP,59,2,0,6569.65,0.0,0.0,0.0,0.0,0.0,0.0,0
7255-SSFBC,72,2,1,8082.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3645-DEYGF,1,0,0,20.75,1.0,1.0,1.0,1.0,1.0,1.0,0
9323-HGFWY,27,2,2,2751.3,0.0,0.0,0.0,0.0,0.0,0.0,0
8544-GOQSH,14,2,0,1120.7,0.0,0.0,0.0,0.0,0.0,0.0,0
3363-DTIVD,71,2,1,7494.05,0.0,0.0,0.0,0.0,0.0,0.0,0
7018-WBJNK,13,2,0,1017.9,0.0,0.0,0.0,0.0,0.0,0.0,0
9142-KZXOP,44,2,0,3029.3999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0
7674-YTAFD,33,2,2,2638.35,0.0,0.0,0.0,0.0,0.0,0.0,0
6348-SNFUS,72,1,1,3992.4,0.0,0.0,0.0,0.0,0.0,0.0,0
1285-OKIPP,1,2,0,79.9,0.0,0.0,0.0,0.0,0.0,0.0,1
7825-ECJRF,19,2,0,2025.3999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1
1347-KTTTA,64,2,2,6556.8,0.0,0.0,0.0,0.0,0.0,0.0,0
7841-TZDMQ,2,1,0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4195-NZGTA,1,1,0,25.25,0.0,0.0,0.0,0.0,0.0,0.0,0
7157-SMCFK,61,0,1,1204.75,1.0,1.0,1.0,1.0,1.0,1.0,0
4709-LKHYG,29,0,2,580.0,1.0,1.0,1.0,1.0,1.0,1.0,0
2504-DSHIH,23,2,0,1996.3999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0
0699-NDKJM,57,1,0,3348.75,0.0,0.0,0.0,0.0,0.0,0.0,0
9286-BHDQG,72,1,1,3258.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0230-WEQUW,66,1,1,3735.6,0.0,0.0,0.0,0.0,0.0,0.0,0
2040-LDIWQ,65,1,1,5473.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6496-JDSSB,8,2,0,640.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9408-SSNVZ,4,2,0,280.6,0.0,0.0,0.0,0.0,0.0,0.0,1
4443-EMBNA,71,0,1,1757.25,1.0,1.0,1.0,1.0,1.0,1.0,0
6469-MRVET,1,0,2,20.2,1.0,1.0,1.0,1.0,1.0,1.0,0
0742-MOABM,4,1,0,200.2,0.0,0.0,0.0,0.0,0.0,0.0,1
5961-VUSRV,12,0,2,232.20000000000002,1.0,1.0,1.0,1.0,1.0,1.0,0
6778-JFCMK,24,1,2,1214.4,0.0,0.0,0.0,0.0,0.0,0.0,0
6341-JVQGF,31,1,2,2515.65,0.0,0.0,0.0,0.0,0.0,0.0,0
2232-DMLXU,1,1,0,55.2,0.0,0.0,0.0,0.0,0.0,0.0,1
4811-JBUVU,30,2,0,2697.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0945-TSONX,47,1,1,4009.1,0.0,0.0,0.0,0.0,0.0,0.0,0
2651-ZCBXV,54,2,1,5832.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3316-UWXUY,50,2,0,4675.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8937-RDTHP,1,2,0,84.6,0.0,0.0,0.0,0.0,0.0,0.0,1
7083-MIOPC,72,0,1,1458.0,1.0,1.0,1.0,1.0,1.0,1.0,0
1984-GPTEH,29,0,0,729.3499999999999,1.0,1.0,1.0,1.0,1.0,1.0,0
1251-KRREG,2,1,0,108.8,0.0,0.0,0.0,0.0,0.0,0.0,1
0621-JFHOL,10,1,1,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9903-LYSAB,18,2,0,1316.7,0.0,0.0,0.0,0.0,0.0,0.0,0
0094-OIFMO,11,2,0,1045.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9227-UAQFT,16,0,1,316.0,1.0,1.0,1.0,1.0,1.0,1.0,0
7301-ABVAD,72,1,1,6235.2,0.0,0.0,0.0,0.0,0.0,0.0,0
6614-FHDBO,72,2,1,7862.400000000001,0.0,0.0,0.0,0.0,0.0,0.0,0
7576-ASEJU,41,1,2,3062.7000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0
9058-HRZSV,65,2,0,6136.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4522-AKYLR,13,1,0,712.4,0.0,0.0,0.0,0.0,0.0,0.0,0
0221-WMXNQ,4,2,0,301.4,0.0,0.0,0.0,0.0,0.0,0.0,0
0303-UNCIP,41,1,2,2665.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9947-OTFQU,15,2,0,1116.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0322-YINQP,1,1,0,48.55,0.0,0.0,0.0,0.0,0.0,0.0,1
0959-WHOKV,42,2,2,4158.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4075-JFPGR,51,2,2,4768.5,0.0,0.0,0.0,0.0,0.0,0.0,0
4629-NRXKX,2,2,0,140.8,0.0,0.0,0.0,0.0,0.0,0.0,1
9514-JDSKI,1,1,0,40.2,0.0,0.0,0.0,0.0,0.0,0.0,1
3282-ZISZV,32,1,2,2678.4,0.0,0.0,0.0,0.0,0.0,0.0,0
3675-YDUPJ,10,0,0,198.5,1.0,1.0,1.0,1.0,1.0,1.0,0
4111-BNXIF,67,1,1,3989.85,0.0,0.0,0.0,0.0,0.0,0.0,0
7017-VFHAY,61,2,1,7021.099999999999,0.0,0.0,0.0,0.0,0.0,0.0,0
6655-LHBYW,50,2,2,5717.5,0.0,0.0,0.0,0.0,0.0,0.0,0
4959-JOSRX,2,1,0,89.2,0.0,0.0,0.0,0.0,0.0,0.0,1
5046-NUHWD,29,1,0,1305.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7273-TEFQD,3,1,0,123.44999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1
3606-TWKGI,13,2,0,1389.7,0.0,0.0,0.0,0.0,0.0,0.0,1
7529-ZDFXI,57,2,0,5121.45,0.0,0.0,0.0,0.0,0.0,0.0,0
7605-BDWDC,31,1,1,1545.3500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0
1950-KSVVJ,45,2,2,5098.5,0.0,0.0,0.0,0.0,0.0,0.0,0
0123-CRBRT,61,1,1,5374.099999999999,0.0,0.0,0.0,0.0,0.0,0.0,0
6292-TOSSS,50,0,1,1245.0,1.0,1.0,1.0,1.0,1.0,1.0,0
3197-ARFOY,19,2,0,1995.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6323-AYBRX,59,0,1,1141.65,1.0,1.0,1.0,1.0,1.0,1.0,1
7014-ZZXAW,71,0,1,1721.75,1.0,1.0,1.0,1.0,1.0,1.0,0
4385-GZQXV,16,2,0,1511.2,0.0,0.0,0.0,0.0,0.0,0.0,1
7633-MVPUY,57,1,1,3405.75,0.0,0.0,0.0,0.0,0.0,0.0,0
6366-ZGQGL,1,1,0,24.8,0.0,0.0,0.0,0.0,0.0,0.0,1
4716-HHKQH,20,2,0,2141.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5940-AHUHD,1,2,0,70.6,0.0,0.0,0.0,0.0,0.0,0.0,1
6432-TWQLB,5,2,0,427.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4484-GLZOU,52,2,0,5462.599999999999,0.0,0.0,0.0,0.0,0.0,0.0,1
3179-GBRWV,21,1,0,1363.95,0.0,0.0,0.0,0.0,0.0,0.0,0
8645-KWHJO,14,1,0,770.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4130-MZLCC,5,1,0,252.75,0.0,0.0,0.0,0.0,0.0,0.0,0
0314-TKOSI,6,1,0,330.9,0.0,0.0,0.0,0.0,0.0,0.0,0
8229-MYEJZ,10,1,0,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2080-SRCDE,1,0,0,25.4,1.0,1.0,1.0,1.0,1.0,1.0,0
9577-WJVCQ,68,1,0,3702.6000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0
9512-UIBFX,18,2,0,1712.7,0.0,0.0,0.0,0.0,0.0,0.0,1
6202-DYYFX,22,2,2,1672.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3808-HFKDE,20,1,0,887.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5583-SXDAG,1,2,0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3488-PGMQJ,8,2,0,596.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3580-REOAC,10,1,0,448.5,0.0,0.0,0.0,0.0,0.0,0.0,1
7534-BFESC,24,2,0,1826.3999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1
3727-OWVYD,35,1,2,2142.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2294-SALNE,23,2,2,1996.3999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0
4847-TAJYI,6,2,0,536.0999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0
1563-IWQEX,12,0,0,236.39999999999998,1.0,1.0,1.0,1.0,1.0,1.0,0
8203-XJZRC,1,0,0,20.25,1.0,1.0,1.0,1.0,1.0,1.0,0
